Title,Note,URL,Tags,Comment
,,,,
Oriental Hong Kong Kitchen 老香港,,https://www.google.com/maps/place/Oriental+Hong+Kong+Kitchen+%E8%80%81%E9%A6%99%E6%B8%AF/data=!4m2!3m1!1s0x479e79d5758dea5f:0x7b0605470fd9dfb5,,
Malatang,,https://www.google.com/maps/place/Malatang/data=!4m2!3m1!1s0x479ddfd6f221c48d:0x91eee1d6c3718d86,,
Jiao Kitchen,,https://www.google.com/maps/place/Jiao+Kitchen/data=!4m2!3m1!1s0x479e750006d1aca9:0xe4fab1bec4eeff12,,
Hanssam Korean Grill & Dining 한쌈,,https://www.google.com/maps/place/Hanssam+Korean+Grill+%26+Dining+%ED%95%9C%EC%8C%88/data=!4m2!3m1!1s0x479e773965c9e40f:0xd9c3d3367d567a98,,
Sichuan Küche Nudelbar,,https://www.google.com/maps/place/Sichuan+K%C3%BCche+Nudelbar/data=!4m2!3m1!1s0x479e75002b712247:0xe67ed6c59e60ee13,,
Frau Vo,,https://www.google.com/maps/place/Frau+Vo/data=!4m2!3m1!1s0x479ddfde41dddac7:0x9a82ef53677b56c1,,
YGF Malatang 杨国福麻辣烫,,https://www.google.com/maps/place/YGF+Malatang+%E6%9D%A8%E5%9B%BD%E7%A6%8F%E9%BA%BB%E8%BE%A3%E7%83%AB/data=!4m2!3m1!1s0x479e75cf15f0f3ad:0x147e1836f9b8a0f1,,
FAN Restaurant - München,,https://www.google.com/maps/place/FAN+Restaurant+-+M%C3%BCnchen/data=!4m2!3m1!1s0x479e75ab61a3c065:0x21e9be559ff5a5b1,,
China Restaurant bei Ling,,https://www.google.com/maps/place/China+Restaurant+bei+Ling/data=!4m2!3m1!1s0x479e75d0f985afb9:0x66fdc1ef35f765c,,
Ohayou Sushi Restaurant,,https://www.google.com/maps/place/Ohayou+Sushi+Restaurant/data=!4m2!3m1!1s0x410903d9f7f2a36f:0xdebe05b3325e3829,,
Saravanaa Bhavan Munich,,https://www.google.com/maps/place/Saravanaa+Bhavan+Munich/data=!4m2!3m1!1s0x479e77f94f046d05:0xceb748d8f66cf145,,
Slurp Noodle Bar,,https://www.google.com/maps/place/Slurp+Noodle+Bar/data=!4m2!3m1!1s0x479e7594b12e1dc1:0xd333cc394d92d2d7,,
Wais Küche,,https://www.google.com/maps/place/Wais+K%C3%BCche/data=!4m2!3m1!1s0x479e6dbf3cb1ae09:0xe762db9ab1f8b74a,,
Green Oasia 乡味酒楼,,https://www.google.com/maps/place/Green+Oasia+%E4%B9%A1%E5%91%B3%E9%85%92%E6%A5%BC/data=!4m2!3m1!1s0x479e77a979ef0723:0x7733c9efdc641c38,,
Restaurant Bi Béo,,https://www.google.com/maps/place/Restaurant+Bi+B%C3%A9o/data=!4m2!3m1!1s0x479e757eaf5d56e9:0x7caad7ba3fe7ef,,
AndeLong Asia Imbiss & Takeaway,,https://www.google.com/maps/place/AndeLong+Asia+Imbiss+%26+Takeaway/data=!4m2!3m1!1s0x479dd931cfdf329f:0xa5944638cdcdb4f,,
China Nudeln Haus,,https://www.google.com/maps/place/China+Nudeln+Haus/data=!4m2!3m1!1s0x479e760f9624ddad:0x899638906f429f9d,,
Honghong Noodles Restaurant,,https://www.google.com/maps/place/Honghong+Noodles+Restaurant/data=!4m2!3m1!1s0x479e75b8c80cbde5:0x68934d374bdfafd4,,
Noppakao Thai Imbiss,,https://www.google.com/maps/place/Noppakao+Thai+Imbiss/data=!4m2!3m1!1s0x479e75fb9fef3935:0x122fc0d0bc6fc3a4,,
Krua Thai Imbiss,,https://www.google.com/maps/place/Krua+Thai+Imbiss/data=!4m2!3m1!1s0x479e75fba613cf15:0x296929abd521c892,,
MUN Restaurant,,https://www.google.com/maps/place/MUN+Restaurant/data=!4m2!3m1!1s0x479e7580acbc530d:0xbe53ca77cebe17c8,,
YUMIRA Korean BBQ,,https://www.google.com/maps/place/YUMIRA+Korean+BBQ/data=!4m2!3m1!1s0x479dd94578f50dab:0x203b6343fbb771bd,,
M-A-T Koreanische Küche,,https://www.google.com/maps/place/M-A-T+Koreanische+K%C3%BCche/data=!4m2!3m1!1s0x479dd9e5299f28d3:0x94a06b4c3befce43,,
J-Bar,,https://www.google.com/maps/place/J-Bar/data=!4m2!3m1!1s0x479ddf5b1ed84591:0x9a1e73a9635efcb3,,
Song's Kitchen,,https://www.google.com/maps/place/Song's+Kitchen/data=!4m2!3m1!1s0x479ddfff45c730e1:0x2deaea01a5b90bf2,,
Restaurant Arisu,,https://www.google.com/maps/place/Restaurant+Arisu/data=!4m2!3m1!1s0x479e758f6f419131:0x53ef27c6ceb1c3b1,,
Hansik,,https://www.google.com/maps/place/Hansik/data=!4m2!3m1!1s0x479e750a77b21667:0x4d8f76db7decac57,,
Jin,,https://www.google.com/maps/place/Jin/data=!4m2!3m1!1s0x479e7589ad28456f:0x2bd7e0d62070b6ea,,
TAKLAMAKAN Munich,,https://www.google.com/maps/place/TAKLAMAKAN+Munich/data=!4m2!3m1!1s0x479e75f9b6f809a3:0x9bbe2fd1b3d0a17b,,
Mai Garten am Gärtnerplatz,,https://www.google.com/maps/place/Mai+Garten+am+G%C3%A4rtnerplatz/data=!4m2!3m1!1s0x479ddfd0a2b13fe7:0x20f30d87e38ba753,,
Sichuan Küche,,https://www.google.com/maps/place/Sichuan+K%C3%BCche/data=!4m2!3m1!1s0x479e75dba3bf9351:0xca45b7ea57b4e76b,,
Yan You - Chinesisches Restaurant,,https://www.google.com/maps/place/Yan+You+-+Chinesisches+Restaurant/data=!4m2!3m1!1s0x479dd8ca30ca93ed:0xf16d5fc7d9636933,,
